Date,Year,Month,Day,Weekday,High,Low,Average,Close
2/19/2019,2019,2,19,2,2787.330078,2767.290039,2777.310059,2779.76001
2/20/2019,2019,2,20,3,2789.879883,2774.060059,2781.969971,2784.699951
2/21/2019,2019,2,21,4,2781.580078,2764.550049,2773.065064,2774.879883
2/22/2019,2019,2,22,5,2794.199951,2779.110107,2786.655029,2792.669922
2/25/2019,2019,2,25,1,2813.48999,2794.98999,2804.23999,2796.110107
2/26/2019,2019,2,26,2,2803.120117,2789.469971,2796.295044,2793.899902
2/27/2019,2019,2,27,3,2795.76001,2775.129883,2785.444947,2792.379883
2/28/2019,2019,2,28,4,2793.72998,2782.51001,2788.119995,2784.48999
3/1/2019,2019,3,1,5,2808.02002,2787.379883,2797.699952,2803.689941
3/4/2019,2019,3,4,1,2816.879883,2767.659912,2792.269898,2792.810059
3/5/2019,2019,3,5,2,2796.439941,2782.969971,2789.704956,2789.649902
3/6/2019,2019,3,6,3,2790.27002,2768.689941,2779.479981,2771.449951
3/7/2019,2019,3,7,4,2767.25,2739.090088,2753.170044,2748.929932
3/8/2019,2019,3,8,5,2744.129883,2722.27002,2733.199952,2743.070068
3/11/2019,2019,3,11,1,2784,2747.610107,2765.805054,2783.300049
3/12/2019,2019,3,12,2,2798.320068,2786.72998,2792.525024,2791.52002
3/13/2019,2019,3,13,3,2821.23999,2799.780029,2810.51001,2810.919922
3/14/2019,2019,3,14,4,2815,2803.459961,2809.229981,2808.47998
3/15/2019,2019,3,15,5,2830.72998,2810.790039,2820.76001,2822.47998
3/18/2019,2019,3,18,1,2835.409912,2821.98999,2828.699951,2832.939941
3/19/2019,2019,3,19,2,2852.419922,2823.27002,2837.844971,2832.570068
3/20/2019,2019,3,20,3,2843.540039,2812.429932,2827.984986,2824.22998
3/21/2019,2019,3,21,4,2860.310059,2817.379883,2838.844971,2854.879883
3/22/2019,2019,3,22,5,2846.159912,2800.469971,2823.314942,2800.709961
3/25/2019,2019,3,25,1,2809.790039,2785.02002,2797.40503,2798.360107
3/26/2019,2019,3,26,2,2829.870117,2803.98999,2816.930054,2818.459961
3/27/2019,2019,3,27,3,2825.560059,2787.719971,2806.640015,2805.370117
3/28/2019,2019,3,28,4,2819.709961,2798.77002,2809.239991,2815.439941
3/29/2019,2019,3,29,5,2836.030029,2819.22998,2827.630005,2834.399902
4/1/2019,2019,4,1,1,2869.399902,2848.629883,2859.014893,2867.189941
4/2/2019,2019,4,2,2,2872.899902,2858.75,2865.824951,2867.23999
4/3/2019,2019,4,3,3,2885.25,2865.169922,2875.209961,2873.399902
4/4/2019,2019,4,4,4,2881.280029,2867.139893,2874.209961,2879.389893
4/5/2019,2019,4,5,5,2893.23999,2882.98999,2888.11499,2892.73999
4/8/2019,2019,4,8,1,2895.949951,2880.780029,2888.36499,2895.77002
4/9/2019,2019,4,9,2,2886.879883,2873.330078,2880.104981,2878.199951
4/10/2019,2019,4,10,3,2889.709961,2879.129883,2884.419922,2888.209961
4/11/2019,2019,4,11,4,2893.419922,2881.98999,2887.704956,2888.320068
4/12/2019,2019,4,12,5,2910.540039,2898.370117,2904.455078,2907.409912
4/15/2019,2019,4,15,1,2909.600098,2896.47998,2903.040039,2905.580078
